,Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3)
,mean,median,var,std,sem
Drug Regimen,,,,,
Capomulin,40.675741141,41.557808879999996,24.94776412025484,4.99477368058402,0.32934562340083084
Ceftamin,52.59117180960674,51.77615728,39.29017727327858,6.268187718414198,0.4698205327526108
Infubinol,52.88479510859551,51.82058438,43.12868412883607,6.567243267066941,0.49223569380113835
Ketapril,55.23563764047872,53.698742644999996,68.55357711244602,8.27970875770676,0.6038598237739699
Naftisol,54.331564658333335,52.509284609999995,66.17347898736509,8.13470829147334,0.5964657512424235
Placebo,54.03358078635359,52.28893409,61.16808293669703,7.821002681031188,0.5813305510593876
Propriva,52.32092986,50.446266345,43.85201301302044,6.6220852465836195,0.5443320541940472
Ramicane,40.21674506671052,40.67323554,23.486703952095272,4.846308280753018,0.32095460650848173
Stelasyn,54.23314911988951,52.43173664,59.450561673365975,7.7104190335782645,0.5731109332771457
Zoniferol,53.23650655159341,51.818479325,48.533355389386095,6.966588504381904,0.5163978968332169
